Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
MSigDB_Hallmark_2020,Estrogen Response Late,1/200,0.6274332493027582,0.6274332493027582,0,0,1.0207221675387246,0.4757769643136218,TSPAN13
MSigDB_Hallmark_2020,Estrogen Response Early,1/200,0.6274332493027582,0.6274332493027582,0,0,1.0207221675387246,0.4757769643136218,SLC2A1
MSigDB_Hallmark_2020,Adipogenesis,1/200,0.6274332493027582,0.6274332493027582,0,0,1.0207221675387246,0.4757769643136218,PFKFB3
MSigDB_Hallmark_2020,UV Response Dn,1/144,0.5082968662074447,0.6274332493027582,0,0,1.4244827337610844,0.9639326795067452,INSIG1
MSigDB_Hallmark_2020,Spermatogenesis,1/135,0.4859124361144234,0.6274332493027582,0,0,1.5208493614402216,1.097637809708088,NCAPH
MSigDB_Hallmark_2020,Interferon Gamma Response,1/200,0.6274332493027582,0.6274332493027582,0,0,1.0207221675387246,0.4757769643136218,KLRK1
MSigDB_Hallmark_2020,Xenobiotic Metabolism,1/200,0.6274332493027582,0.6274332493027582,0,0,1.0207221675387246,0.4757769643136218,NQO1
MSigDB_Hallmark_2020,heme Metabolism,1/200,0.6274332493027582,0.6274332493027582,0,0,1.0207221675387246,0.4757769643136218,SLC2A1
KEGG_2021_Human,Sphingolipid signaling pathway,1/119,0.4435998923224137,0.6439353275647941,0,0,1.7284640922593046,1.4049513852285709,PPP2R2C
KEGG_2021_Human,Platelet activation,1/124,0.4571800835620697,0.6552222445921899,0,0,1.657782247925572,1.2975095446652958,GP1BA
KEGG_2021_Human,Osteoclast differentiation,1/127,0.4651701770120069,0.6552222445921899,0,0,1.6180657830142366,1.238389831832245,LILRA3
KEGG_2021_Human,Oocyte meiosis,1/129,0.4704321191825455,0.6552222445921899,0,0,1.5926224226804124,1.201002308999126,ESPL1
KEGG_2021_Human,FoxO signaling pathway,1/131,0.4756428145928489,0.6552222445921899,0,0,1.5679619349722442,1.1651338487722471,PCK2
KEGG_2021_Human,Natural killer cell mediated cytotoxicity,1/131,0.4756428145928489,0.6552222445921899,0,0,1.5679619349722442,1.1651338487722471,KLRK1
KEGG_2021_Human,Vascular smooth muscle contraction,1/133,0.4808027571164223,0.6556401233405758,0,0,1.5440487347703842,1.1307040494954523,PRKCQ
KEGG_2021_Human,Insulin signaling pathway,1/137,0.4909723362006207,0.6562501523473643,0,0,1.4983323226197696,1.0658649103080529,PCK2
KEGG_2021_Human,Autophagy,1/137,0.4909723362006207,0.6562501523473643,0,0,1.4983323226197696,1.0658649103080529,PRKCQ
KEGG_2021_Human,Fluid shear stress and atherosclerosis,1/139,0.4959829373435425,0.6564480053076297,0,0,1.4764679515912147,1.0353196340598445,NQO1
KEGG_2021_Human,Hepatitis C,1/157,0.5389368625962431,0.6614225131862983,0,0,1.3049167327517843,0.8066432209118723,PPP2R2C
KEGG_2021_Human,Cellular senescence,1/156,0.5366485982131893,0.6614225131862983,0,0,1.31340206185567,0.8174769127641793,CCNA2
KEGG_2021_Human,Gastric cancer,1/149,0.5203129410323081,0.6614225131862983,0,0,1.376010030649206,0.8989815313839802,FZD7
KEGG_2021_Human,Breast cancer,1/147,0.5155417933513556,0.6614225131862983,0,0,1.3950007061149554,0.9242394508391598,FZD7
KEGG_2021_Human,Oxytocin signaling pathway,1/154,0.5320382939210961,0.6614225131862983,0,0,1.3307054780675156,0.8397281336110096,RGS2
KEGG_2021_Human,mTOR signaling pathway,1/154,0.5320382939210961,0.6614225131862983,0,0,1.3307054780675156,0.8397281336110096,FZD7
KEGG_2021_Human,Cushing syndrome,1/155,0.5343490934947801,0.6614225131862983,0,0,1.3219975900388272,0.8285037165324352,FZD7
KEGG_2021_Human,Signaling pathways regulating pluripotency of stem cells,1/143,0.5058581400347897,0.6614225131862983,0,0,1.4345869028604616,0.9776695464036133,FZD7
